Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
981,3094,B ,97,2,0,1,
983,3095,A,97,2,0,1,
983,3095,B ,90,7,0,3,
985,3096,A,99,0,0,1,
985,3096,B ,96,1,0,3,
987,3097,A,99,0,0,1,
987,3097,B ,99,0,0,1,
989,3098,A,99,0,0,1,
989,3098,B ,98,0,0,2,
991,3100,A,100,0,0,0,
991,3100,B ,96,2,0,2,
993,3101,A,97,2,0,1,
993,3101,B ,86,10,1,3,
995,3102,A,98,1,0,1,
995,3102,B ,95,2,0,3,
997,3103,A,98,1,0,1,
997,3103,B ,96,2,0,2,
999,3014,A,98,1,0,1,
999,3014,B ,98,1,0,1,
901,3105,A,99,0,0,1,
901,3105,B ,97,1,0,2,
903,3106,A,99,0,0,1,
903,3106,B,98,1,0,1,
905,3107,A,98,1,0,1,
905,3107,B,96,2,0,2,
907,3108,A,99,0,0,1,
907,3108,B,99,0,0,1,
909,3110,A,100,0,0,0,
909,3110,B ,100,0,0,0,
911,3111,A,100,0,0,0,
911,3111,B ,100,0,0,0,
913,3112,A,99,0,0,1,
913,3112,B ,98,0,0,2,
915,3113,A,99,0,0,1,
915,3113,B ,98,1,0,1,
917,3114,A,98,1,0,1,
917,3114,B ,91,4,0,5,
919,3115,A,98,1,0,1,
919,3115,B ,96,2,0,2,
921,3116,A,98,1,0,1,
921,3116,B ,94,3,0,3,
923,3118,A,98,1,0,1,
923,3118,B ,95,2,0,3,
925,3119,A,100,0,0,0,
925,3119,B ,96,2,0,2,
927,3120,A,100,0,0,0,
927,3120,B ,100,0,0,0,
929,3121,A,100,0,0,0,
929,3121,B ,100,0,0,0,
931,3122,A,100,0,0,0,
931,3122,B ,100,0,0,0,
933,3123,A,100,0,0,0,
933,3123,B ,99,0,0,1,
935,3124,A,100,0,0,0,
935,3124,B ,82,3,15,5,
937,3125,A,99,1,0,0,
937,3125,B ,91,3,0,6,
939,3126,A,98,1,0,1,
939,3126,B ,80,10,1,9,
941,3127,A,99,0,0,1,
941,3127,B ,98,0,0,2,
943,3128,A,98,1,0,1,
943,3128,B ,97,1,0,2,
945,3129,A,99,0,0,1,
945,3129,B ,98,0,0,2,
947,3130,A,99,0,0,1,
947,3130,B ,99,0,0,1,
949,3131,A,98,0,0,2,
949,3131,B ,96,0,0,4,
851,3142,A,93,6,0,1,
851,3142,B,20,50,10,20,
853,3143,A,92,6,0,2,
853,3143,B,20,50,10,20,
855,3144,A,92,5,0,3,
855,3144,B,50,30,5,15,Large dirt spot in the middle of plot 
857,3146,A,85,10,0,5,
857,3146,B ,20,50,10,20,
859,3147,A,90,9,0,1,
859,3147,B ,25,60,5,10,
861,3148,A,91,8,0,1,
861,3148,B ,10,60,10,20,
863,3149,A,91,8,0,1,
863,3149,B ,25,60,10,15,
865,3150,A,93,6,0,1,
865,3150,B ,20,60,10,20,
867,3151,A,95,4,0,1,
867,3151,B ,10,65,5,20,
869,3152,A,93,4,0,3,
869,3152,B ,20,65,10,15,
871,3153,A,90,7,0,3,
871,3153,B ,10,70,10,10,
873,3154,A,94,5,0,1,
873,3154,B ,20,60,10,20,
875,3155,A,96,0,3,1,
875,3155,B ,10,60,10,20,
877,3156,A,84,15,0,1,
877,3156,B ,35,40,5,20,
879,3157,A,93,5,0,2,
879,3157,B ,10,55,10,15,
881,3158,A,92,7,0,1,
881,3158,B ,20,60,10,10,
883,3159,A,88,11,0,1,
883,3159,B ,20,50,10,20,
885,3162,A,95,4,0,1,
885,3162,B ,50,20,5,25,
887,3163,A,96,2,0,2,
887,3163,B ,5,45,10,40,
889,3164,A,96,2,0,2,
889,3164,B ,6,50,14,30,
891,3165,A,97,1,0,2,
891,3165,B ,5,55,10,30,
893,3166,A,96,3,0,1,
893,3166,B ,30,40,10,20,
897,3167,A,96,3,0,1,
897,3167,B ,65,20,5,10,
899,3168,A,84,15,0,1,
899,3168,B ,35,45,5,15,
801,3170,A,50,48,0,2,
801,3170,B ,25,40,10,25,
803,3171,A,59,40,0,1,
803,3171,B ,40,40,5,15,
805,3172,A,67,30,0,3,
805,3172,B,30,45,10,15,
807,3173,A,60,37,0,3,
807,3173,B,10,55,10,25,
809,3174,A,52,45,0,3,
809,3174,B,15,45,10,30,
811,3175,A,73,25,0,2,
811,3175,B ,45,25,10,20,
813,3176,A,62,35,0,3,
813,3176,B ,20,40,10,30,
815,3177,A,48,50,0,2,
815,3177,B ,15,35,10,40,
817,3178,A,57,40,0,3,
817,3178,B ,15,35,10,40,
819,3181,A,57,40,0,3,
819,3181,B ,10,40,10,40,
821,3182,A,58,40,0,2,
821,3182,B ,45,20,5,30,
823,3183,A,55,53,0,2,
823,3183,B ,35,25,10,30,
825,3184,A,58,40,0,2,
825,3184,B ,20,30,10,40,
827,3186,A,57,40,0,3,
827,3186,B ,20,30,10,40,
829,3187,A,43,55,0,2,
829,3187,B ,10,40,10,40,
831,3188,A,55,40,0,5,
831,3188,B ,30,30,10,30,
833,3189,A,38,60,0,2,
833,3189,B ,40,35,5,20,
835,3190,A,50,38,0,2,
835,3190,B ,40,30,10,20,
837,3191,A,55,49,0,2,
837,3191,B ,40,20,10,30,
839,3192,A,50,45,0,5,
839,3192,B ,20,30,10,40,
341,3193,A,63,35,0,2,
341,3193,B ,10,40,10,40,
343,3194,A,63,35,0,2,
343,3194,B ,30,30,10,30,
345,3195,A,73,25,0,2,
345,3195,B ,10,40,10,40,
847,3196,A,63,35,0,2,
847,3196,B ,20,30,10,40,
849,3197,A,63,35,0,2,
849,3197,B ,50,19,1,30,
751,3198,A,73,25,0,2,
751,3198,B ,10,45,5,40,
753,3199,A,73,25,0,2,
753,3199,B,20,30,15,35,
755,3201,A,82,15,0,3,
755,3201,B,35,25,10,30,
757,3202,A,88,20,0,2,
757,3202,B,10,40,10,40,
759,3203,A,70,25,0,5,
759,3203,B ,30,30,10,30,
761,3204,A,91,5,0,4,
761,3204,B ,70,15,2,13,
763,3205,A,85,10,0,5,
763,3205,B ,35,25,5,35,
765,3206,A,80,15,0,5,
765,3206,B ,45,20,10,25,
767,3207,A,68,30,0,2,
767,3207,B ,10,40,10,40,
769,3208,A,67,30,0,3,
769,3208,B ,20,40,10,30,
771,3209,A,62,35,0,3,
771,3209,B ,30,30,10,30,
773,3210,A,65,30,0,5,
